iter	Passed	Remaining
0	363	363197
1	572	285757
2	785	261179
3	996	248199
4	1235	245921
5	1486	246314
6	1688	239475
7	1879	233059
8	2072	228241
9	2286	226328
10	2496	224468
11	2686	221194
12	2878	218522
13	3091	217738
14	3316	217771
15	3537	217576
16	3741	216344
17	3933	214582
18	4141	213850
19	4357	213513
20	4555	212362
21	4788	212851
22	5048	214451
23	5258	213831
24	5462	213042
25	5716	214159
26	6016	216802
27	6238	216559
28	6423	215090
29	6638	214635
30	6837	213732
31	7030	212686
32	7274	213153
33	7554	214624
34	7772	214285
35	7969	213411
36	8172	212693
37	8384	212264
38	8678	213847
39	8975	215422
40	9266	216740
41	9498	216655
42	9847	219155
43	10164	220846
44	10403	220784
45	10618	220223
46	10817	219344
47	11036	218893
48	11283	218995
49	11525	218979
50	11847	220450
51	12102	220634
52	12389	221370
53	12644	221508
54	12833	220508
55	13096	220764
56	13379	221350
57	13765	223568
58	14160	225848
59	14358	224945
60	14586	224531
61	14884	225184
62	15100	224595
63	15314	223974
64	15706	225938
65	16625	235274
66	17344	241528
67	18596	254880
68	19257	259830
69	19736	262210
70	20064	262533
71	20347	262259
72	20784	263933
73	21169	264905
74	21615	266588
75	21984	267281
76	22214	266290
77	22678	268075
78	22901	266987
79	23124	265932
80	23265	263962
81	23502	263116
82	23717	262036
83	23833	259896
84	24000	258362
85	24168	256860
86	24353	255576
87	24640	255362
88	24970	255601
89	25520	258041
90	26164	261356
91	26484	261386
92	26844	261810
93	27369	263799
94	27669	263592
95	27872	262461
96	28066	261278
97	28260	260115
98	28494	259329
99	28732	258591
100	29027	258377
101	29273	257718
102	29602	257800
103	29960	258124
104	30212	257526
105	30426	256616
106	30640	255722
107	30849	254796
108	31053	253839
109	31243	252786
110	31446	251855
111	31622	250717
112	31969	250944
113	32355	251460
114	32820	252576
115	33050	251869
116	33589	253501
117	34155	255297
118	34422	254843
119	34711	254554
120	35240	256000
121	35490	255417
122	35743	254855
123	36015	254433
124	36304	254132
125	36579	253731
126	36814	253066
127	37130	252954
128	37413	252610
129	37854	253332
130	38302	254081
131	38854	255497
132	39566	257924
133	40122	259299
134	40465	259276
135	40793	259158
136	41042	258537
137	41347	258274
138	41631	257875
139	41817	256878
140	41991	255820
141	42180	254864
142	42326	253662
143	42467	252448
144	42648	251480
145	42786	250271
146	42950	249228
147	43110	248177
148	43227	246891
149	43391	245884
150	43538	244796
151	43693	243765
152	43962	243371
153	44456	244220
154	44727	243835
155	44959	243243
156	45199	242697
157	45592	242970
158	45972	243163
159	46407	243639
