iter	Passed	Remaining
160	46760	243676
161	47002	243136
162	47516	243995
163	47984	244602
164	48243	244142
165	48621	244280
166	48928	244057
167	49138	243350
168	49318	242506
169	49529	241822
170	49759	241234
171	49961	240514
172	50154	239755
173	50339	238969
174	50527	238199
175	50668	237221
176	50789	236157
177	50951	235291
178	51084	234301
179	51241	233434
180	51378	232481
181	51527	231591
182	51719	230901
183	51901	230172
184	52122	229620
185	52349	229097
186	52585	228621
187	53044	229106
188	53398	229134
189	53761	229194
190	54048	228929
191	54238	228253
192	54522	227978
193	54770	227549
194	55305	228314
195	55713	228540
196	56014	228322
197	56404	228468
198	56953	229245
199	57381	229527
200	57714	229421
201	57970	229012
202	58337	229038
203	58667	228919
204	59112	229242
205	59534	229466
206	59817	229154
207	60314	229660
208	60966	230740
209	61401	230984
210	61689	230676
211	62009	230488
212	62289	230149
213	62525	229649
214	63039	230168
215	63309	229788
216	63534	229252
217	63772	228762
218	64017	228300
219	64214	227669
220	64453	227189
221	64677	226662
222	64858	225987
223	65098	225518
224	65323	225002
225	65533	224437
226	65811	224107
227	66020	223542
228	66218	222945
229	66354	222143
230	66506	221400
231	66650	220636
232	66799	219895
233	66956	219183
234	67164	218642
235	67404	218208
236	67592	217608
237	67748	216908
238	67923	216274
239	68088	215614
240	68459	215605
241	68661	215063
242	68841	214456
243	69195	214392
244	69435	213975
245	69629	213417
246	69821	212856
247	70096	212549
248	70277	211960
249	70464	211393
250	70735	211078
251	70950	210599
252	71155	210092
253	71359	209583
254	71549	209036
255	71764	208565
256	71987	208118
257	72177	207581
258	72396	207125
259	72618	206682
260	72812	206162
261	72997	205619
262	73148	204982
263	73330	204436
264	73565	204039
265	73759	203530
266	73913	202916
267	74033	202211
268	74204	201648
269	74372	201081
270	74528	200483
271	74687	199899
272	74842	199306
273	74995	198710
274	75143	198105
275	75312	197559
276	75474	196996
277	75620	196395
278	75777	195827
279	75991	195406
280	76169	194897
281	76387	194490
282	76583	194028
283	76811	193652
284	76986	193141
285	77178	192675
286	77386	192253
287	77551	191725
288	77762	191312
289	77960	190867
290	78178	190477
291	78395	190081
292	78594	189646
293	78784	189188
294	78998	188794
295	79175	188308
296	79323	187759
297	79479	187231
298	79679	186806
299	79919	186479
300	80170	186176
301	80355	185723
302	80519	185221
303	80667	184685
304	80824	184173
305	80994	183692
306	81140	183159
307	81289	182637
308	81440	182121
309	81592	181610
310	81767	181149
311	82073	180982
312	82339	180726
313	82558	180367
314	82779	180013
315	82983	179621
316	83194	179249
317	83390	178843
318	83618	178509
319	83926	178344
320	84135	177967
321	84326	177557
322	84518	177148
323	84744	176813
324	84977	176492
325	85132	176009
326	85323	175604
327	85481	175132
328	85657	174698
329	85831	174263
330	86037	173893
331	86294	173628
332	86506	173273
333	86663	172807
334	86859	172423
335	86990	171908
336	87138	171433
337	87283	170952
338	87446	170508
339	87585	170018
340	87732	169547
341	87898	169115
342	88128	168806
343	88352	168486
344	88552	168121
345	88762	167775
346	89003	167491
347	89183	167090
348	89405	166771
349	89603	166406
350	89773	165990
351	89970	165627
352	90157	165246
353	90327	164834
354	90539	164501
355	90722	164116
356	90962	163834
357	91099	163367
358	91297	163012
359	91449	162576
360	91598	162137
361	91739	161684
362	91937	161334
363	92138	160989
364	92396	160744
365	92731	160632
366	92964	160344
367	93163	159998
368	93336	159608
369	93489	159185
370	93645	158767
371	93790	158334
372	93928	157890
373	94102	157508
374	94237	157062
375	94393	156653
376	94540	156230
377	94720	155862
378	94864	155437
379	95066	155107
380	95280	154800
381	95486	154478
382	95698	154166
383	95923	153877
384	96122	153545
385	96348	153258
386	96534	152908
387	96750	152605
388	96956	152289
389	97183	152005
390	97398	151703
391	97606	151389
392	97836	151110
393	98034	150783
394	98173	150367
395	98343	149999
396	98482	149583
397	98626	149178
398	98854	148901
399	99102	148653
400	99297	148327
401	99464	147959
402	99626	147585
403	99811	147247
404	100128	147102
405	100297	146740
406	100444	146348
407	100593	145959
408	100752	145586
409	100914	145218
410	101116	144909
411	101310	144588
412	101480	144235
413	101634	143859
414	101813	143520
415	101974	143157
416	102154	142820
417	102324	142470
418	102471	142090
419	102634	141733
420	102809	141393
421	102991	141064
422	103179	140743
423	103366	140422
424	103531	140072
425	103699	139726
426	103868	139382
427	104051	139059
428	104256	138765
429	104497	138520
430	104671	138186
431	104949	137988
432	105168	137714
433	105332	137369
434	105538	137079
435	105705	136738
436	105883	136412
437	106027	136044
438	106172	135677
439	106331	135330
440	106473	134962
441	106630	134614
442	106797	134280
443	106933	133907
444	107087	133559
445	107246	133216
446	107420	132893
447	107595	132573
448	107748	132226
449	107907	131887
450	108128	131623
451	108366	131382
452	108590	131123
453	108876	130939
454	109096	130676
455	109293	130385
456	109481	130083
457	109643	129752
458	109828	129449
459	110024	129159
460	110291	128953
461	110461	128632
462	110652	128338
463	110879	128084
464	111120	127848
465	111595	127879
466	111852	127660
467	112095	127424
468	112304	127150
469	112479	126838
470	112632	126502
471	112783	126164
472	112936	125829
473	113102	125510
474	113261	125183
475	113400	124835
476	113560	124512
477	113714	124181
478	113867	123851
479	114005	123505
480	114134	123151
481	114306	122843
482	114458	122515
483	114596	122173
484	114765	121864
485	114946	121569
486	115132	121279
487	115357	121031
488	115663	120866
489	115863	120592
490	116064	120318
491	116267	120048
492	116432	119739
493	116721	119557
494	116924	119286
495	117123	119012
496	117311	118727
497	117503	118447
498	117786	118259
499	118100	118100
500	118290	117818
501	118454	117510
502	118593	117178
503	118776	116890
504	118918	116563
505	119089	116264
506	119277	115983
507	119400	115639
508	119552	115324
509	119717	115022
510	119901	114739
511	120072	114444
512	120230	114137
513	120390	113831
514	120546	113524
515	120729	113242
516	120871	112922
517	121060	112646
518	121240	112363
519	121482	112137
520	121705	111894
521	121887	111613
522	122090	111352
523	122301	111098
524	122480	110815
525	122658	110532
526	122861	110272
527	123103	110046
528	123340	109816
529	123501	109520
530	123732	109285
531	123920	109012
532	124260	108873
533	124518	108662
534	124743	108421
535	124990	108200
536	125176	107926
537	125305	107604
538	125461	107306
539	125616	107006
540	125766	106704
541	126057	106520
542	126300	106297
543	126555	106083
544	126814	105872
545	127017	105615
546	127283	105409
547	127474	105142
548	127619	104838
549	127803	104566
550	127985	104292
551	128240	104078
552	128597	103947
553	128749	103650
554	128907	103358
555	129052	103055
556	129214	102768
557	129409	102507
558	129620	102258
559	130041	102175
560	130367	102016
561	130804	101943
562	131198	101835
563	131415	101590
564	131710	101405
565	131951	101178
566	132245	100991
567	132477	100757
568	132696	100513
569	132897	100256
570	133199	100074
571	133382	99804
572	133523	99501
573	133687	99217
574	134016	99055
575	134168	98762
576	134335	98481
577	134504	98202
578	134677	97925
579	134818	97627
580	135016	97369
581	135555	97358
582	135844	97165
583	136013	96885
584	136173	96601
585	136310	96301
586	136463	96012
587	136625	95730
588	136860	95500
589	137302	95413
590	137663	95269
591	138062	95150
592	138307	94926
593	138538	94691
594	138721	94423
595	138956	94192
596	139620	94249
597	139919	94059
598	140113	93798
599	140305	93537
600	140480	93264
601	140719	93034
602	140938	92790
603	141200	92575
604	141388	92311
605	141646	92093
606	141800	91807
607	141944	91516
608	142140	91259
609	142375	91027
610	142573	90770
611	142993	90656
612	143298	90467
613	143486	90204
614	143802	90022
615	144140	89854
616	144515	89707
617	144903	89567
618	145252	89404
619	145687	89292
620	146369	89329
621	146794	89209
622	147063	88993
623	147284	88748
624	147500	88500
625	147779	88289
626	147967	88025
627	148178	87774
628	148472	87572
629	148841	87414
630	149198	87249
631	149640	87132
632	150015	86975
633	150264	86745
634	150534	86527
635	150812	86314
636	150991	86043
637	151242	85814
638	151598	85644
639	151968	85482
640	152313	85305
641	152754	85180
642	153365	85150
643	153808	85024
644	154475	85021
645	155236	85067
646	155645	84919
647	156043	84764
648	156317	84541
649	156496	84267
650	156684	83998
651	156896	83742
652	157114	83489
653	157339	83240
654	157511	82964
655	157670	82680
656	157844	82406
657	158073	82159
658	158222	81872
659	158444	81623
660	158850	81467
661	159123	81244
662	159392	81018
663	159748	80836
664	160082	80643
665	160297	80389
666	160592	80175
667	160962	79999
668	161303	79807
669	161654	79620
670	162106	79483
671	162444	79288
672	162802	79103
673	163078	78877
674	163426	78686
675	163909	78560
676	164175	78328
677	164466	78109
678	164739	77881
679	165278	77778
680	165580	77562
681	165930	77369
682	166294	77181
683	166601	76967
684	166914	76756
685	167454	76648
686	167661	76387
687	167831	76109
688	168069	75862
689	168431	75672
690	168651	75417
691	168870	75162
692	169120	74920
693	169307	74651
694	169526	74396
695	169718	74130
696	169897	73857
697	170089	73591
698	170291	73329
699	170479	73062
700	170667	72795
701	170854	72527
702	171071	72273
703	171257	72005
704	171456	71744
705	171640	71476
706	171833	71212
707	172021	70946
708	172215	70683
709	172420	70425
710	172614	70162
711	172797	69895
712	173020	69645
713	173226	69387
714	173408	69120
715	173601	68858
716	173797	68597
717	174001	68340
718	174173	68070
719	174366	67809
720	174559	67547
721	174751	67286
722	174972	67036
723	175302	66828
724	175537	66583
725	175729	66322
726	175924	66062
727	176120	65803
728	176328	65548
729	176525	65290
730	176721	65031
731	176952	64785
732	177196	64544
733	177482	64319
734	177894	64138
735	178207	63922
736	178664	63756
737	179173	63608
738	180180	63636
739	180788	63520
740	181054	63283
741	181287	63035
742	182082	62981
743	183935	63289
744	186344	63782
745	188314	64117
746	191100	64723
747	192216	64757
748	194808	65282
749	199600	66533
750	202858	67259
751	206108	67972
752	207866	68184
753	208837	68135
754	209827	68089
755	210389	67903
756	210672	67626
757	210930	67341
758	211151	67045
759	211364	66746
760	211601	66455
761	211856	66170
762	212199	65912
763	212894	65763
764	213688	65642
765	214034	65383
766	214659	65209
767	215303	65039
768	215677	64787
769	216030	64528
770	216462	64293
771	217168	64137
772	217953	64004
773	218462	63788
774	218896	63550
775	219449	63346
776	220500	63284
777	221178	63112
778	221481	62833
779	221696	62529
780	221950	62237
781	222200	61943
782	222524	61670
783	223374	61542
784	224013	61353
785	225907	61506
786	227704	61627
787	229047	61621
788	229545	61386
789	229840	61096
790	230098	60797
791	230692	60585
792	231369	60395
793	231891	60163
794	232491	59950
795	233146	59751
796	233634	59507
797	234253	59297
798	234865	59083
799	235500	58875
800	237004	58881
801	237679	58678
802	237871	58356
803	238101	58044
804	238336	57733
805	238582	57425
806	238793	57109
807	238965	56783
808	239136	56458
809	239402	56156
810	239577	55832
811	239860	55534
812	240103	55226
813	240442	54941
814	240742	54647
815	240987	54340
816	241219	54030
817	241441	53719
818	241660	53407
819	241911	53102
820	242130	52790
821	242371	52484
822	242613	52178
823	242951	51892
824	243283	51605
825	243779	51353
826	245344	51323
827	246085	51119
828	246446	50835
829	246911	50572
830	247469	50327
831	248010	50078
832	248501	49819
833	248729	49507
834	248948	49193
835	249159	48878
836	249378	48564
837	249570	48246
838	249803	47936
839	251462	47897
840	252883	47810
841	253503	47569
842	254967	47485
843	255433	47212
844	255759	46914
845	256260	46647
846	256561	46344
847	256814	46032
848	257052	45718
849	257392	45422
850	257758	45130
851	258426	44890
852	258976	44630
853	259558	44374
854	260240	44134
855	261757	44034
856	262432	43789
857	263176	43556
858	263648	43276
859	264096	42992
860	265702	42895
861	266668	42691
862	267708	42498
863	268644	42286
864	269712	42093
865	270956	41926
866	271563	41658
867	272326	41413
868	272945	41146
869	273496	40867
870	274028	40585
871	274649	40315
872	275114	40022
873	275861	39769
874	276550	39507
875	277160	39232
876	277755	38955
877	278219	38659
878	279637	38493
879	279972	38178
880	280274	37857
881	280588	37539
882	280983	37231
883	281277	36909
884	281631	36596
885	282014	36286
886	282409	35977
887	282708	35656
888	283002	35335
889	283281	35012
890	283575	34691
891	283837	34365
892	284257	34060
893	285156	33810
894	285634	33510
895	286005	33197
896	286371	32883
897	286697	32564
898	287110	32256
899	287615	31957
900	287903	31634
901	288377	31331
902	288688	31010
903	289312	30723
904	289926	30434
905	290252	30114
906	290675	29804
907	290995	29484
908	291324	29164
909	291702	28849
910	291995	28526
911	292307	28205
912	292615	27883
913	292887	27558
914	293147	27232
915	293407	26906
916	293683	26582
917	294002	26261
918	294389	25947
919	294779	25633
920	295193	25320
921	295445	24994
922	295713	24669
923	296095	24354
924	296395	24032
925	296648	23706
926	296894	23380
927	297162	23055
928	297487	22735
929	297751	22411
930	297997	22085
931	298239	21759
932	298448	21432
933	298649	21103
934	298901	20779
935	299182	20456
936	299490	20136
937	299781	19814
938	300323	19509
939	301077	19217
940	301486	18902
941	301992	18594
942	302776	18301
943	303355	17995
944	303797	17681
945	304196	17364
946	304572	17045
947	305076	16734
948	305428	16413
949	305828	16096
950	306379	15786
951	306838	15470
952	307840	15182
953	309177	14907
954	310397	14626
955	311492	14336
956	312196	14027
957	312556	13702
958	312908	13377
959	313231	13051
960	313612	12727
961	313880	12398
962	314156	12070
963	314465	11743
964	314782	11416
965	315200	11093
966	315451	10765
967	315929	10443
968	316350	10120
969	317002	9804
970	317613	9485
971	317924	9158
972	318194	8829
973	318426	8500
974	318781	8173
975	319141	7847
976	319660	7525
977	320120	7201
978	320411	6872
979	320648	6543
980	320901	6215
981	321121	5886
982	321360	5557
983	321599	5229
984	321860	4901
985	322123	4573
986	322388	4246
987	322703	3919
988	322983	3592
989	323324	3265
990	323652	2939
991	323920	2612
992	324232	2285
993	324470	1958
994	324719	1631
995	325018	1305
996	325463	979
997	325800	652
998	326204	326
999	326638	0
